paper_id,title,authors,first_author,year,venue,publication_type,publication_status,doi,arxiv_id,url,citation_count,citation_source,citation_checked_date,citation_velocity_note,taxonomy_primary,taxonomy_secondary,method_family,task,agent_target_setting,observation,communication,centralization,dynamics_action,target_evader_model,obstacles,theoretical_guarantee,real_experiment,code_available,classic_score,frontier_score,cocap_relevance,screening_status,reading_status,decision,notes_path,search_round_id,evidence_notes
P0001,"A survey on target encirclement algorithms with UAVs, USVs and AUVs",,Wenyu Cai,2026,Neurocomputing,review,published,10.1016/j.neucom.2026.132687,,,,,,,2,B1-B8,survey,,,,,,,,,,,,,,HIGH,UNSCREENED,NOT_QUEUED,MUST READ,,SR-20260914-CE01,[Web核验] recent dedicated field survey; unscreened
P0002,A Cooperative Hunting Behavior by Mobile-Robot Troops,,Hiroaki Yamaguchi,1999,International Journal of Robotics Research,journal,published,10.1177/02783649922066664,,,,,,,2.1,2.3;2.4;6.1,distributed control,,,,,,,,,,,,,,MEDIUM,UNSCREENED,NOT_QUEUED,MUST READ,,SR-20260914-CE01,[Web核验] early local-information hunting/enclosing node; unscreened
P0003,Cooperative control for target-capturing task based on a cyclic pursuit strategy,,Tae-Hyoung Kim,2007,Automatica,journal,published,10.1016/j.automatica.2007.01.018,,,,,,,2.1,2.3;6.1,cyclic pursuit,,,,,,,,,,,,,,MEDIUM,SCREENED,QUEUED,MUST READ,notes/screening/SC-20260914-CE01.md,SR-20260914-CE01,[SCREEN] geometric target-capturing genealogy; not PE capture
P0004,Distributed control of cooperative target enclosing based on reachability and invariance analysis,,Ying Lan,2010,Systems & Control Letters,journal,published,10.1016/j.sysconle.2010.04.003,,,,,,,2.1,2.3;2.8,distributed nonlinear control,,,,,,,,,,,,,,,SCREENED,QUEUED,MUST READ,notes/screening/SC-20260914-CE01.md,SR-20260914-CE01,[SCREEN] finite-sensing/local-information classical enclosing
P0005,Local control strategy for moving-target-enclosing under dynamically changing network topology,,Jing Guo,2010,Systems & Control Letters,journal,published,10.1016/j.sysconle.2010.07.010,,,,,,,2.2,2.3,distributed local control,,,,,,,,,,,,,,,UNSCREENED,NOT_QUEUED,MUST READ,,SR-20260914-CE01,[Web核验] moving-target/dynamic-topology seed; unscreened
P0006,Circumnavigation Using Distance Measurements Under Slow Drift,,Iman Shames,2012,IEEE Transactions on Automatic Control,journal,published,10.1109/TAC.2011.2173417,,,,,,,2.2,2.7,range-only control/estimation,,,,,,,,,,,,,,,UNSCREENED,NOT_QUEUED,MUST READ,,SR-20260914-CE01,[Web核验] distance-only sensing lineage; unscreened
P0007,Enclosing a target by nonholonomic mobile robots with bearing-only measurements,,Ronghao Zheng,2015,Automatica,journal,published,10.1016/j.automatica.2015.01.014,,,,,,,2.1,2.3;2.7;2.8,bearing-only enclosing control,,,,,,,,,,,,,,,UNSCREENED,NOT_QUEUED,MUST READ,,SR-20260914-CE01,[Web核验] bearing-only nonholonomic node; unscreened
P0008,Decentralized multi-robot encirclement of a 3D target with guaranteed collision avoidance,,Antonio Franchi,2016,Autonomous Robots,journal,published,10.1007/s10514-015-9450-3,1307.7170,,,,,,2.2,2.3;2.4;2.8,decentralized control,,,,,,,,,,,,,,HIGH,SCREENED,QUEUED,MUST READ,notes/screening/SC-20260914-CE01.md,SR-20260914-CE01,[SCREEN] decentralized estimator-mediated global quantities; 3D/collision guarantee
P0009,Enclose and Track a Target of Mobile Robot With Motion and Field of View Constraints Based on Relative Position Measurement,,Yu Wen,2024,IEEE Transactions on Artificial Intelligence,journal,published,10.1109/TAI.2024.3403511,,,,,,,2.2,2.7;2.8;5.2,FOV-constrained enclosing control,,,,,,,,,,,,,,HIGH,SCREENED,QUEUED,MUST READ,notes/screening/SC-20260914-CE01.md,SR-20260914-CE01,[SCREEN] direct local/FOV classical comparator
P0010,Multi-Robot Target Monitoring and Encirclement via Triggered Distributed Feedback Optimization,,Lorenzo Pichierri,2026,IEEE Transactions on Robotics,journal,early access,10.1109/TRO.2026.3686280,2409.20399,,,,,,2.6,2.3;2.8;5.7,distributed feedback optimization,,,,,,,,,,,,,,HIGH,SCREENED,QUEUED,MUST READ,notes/screening/SC-20260914-CE01.md,SR-20260914-CE01,"[SCREEN] concurrent patrol/monitoring + encirclement, not post-capture recovery"
P0011,Dynamic Task Allocation and Whole-Group Encirclement of Multiple Targets in Multi-Agent Swarms via Voronoi Partitioning,,Chenyang Li,2026,Mathematics and Computers in Simulation,journal,in press,10.1016/j.matcom.2026.08.028,,,,,,,2.5,5.5;6.3,Voronoi allocation + whole-group encirclement,,,,,,,,,,,,,,HIGH,SCREENED,NOT_QUEUED,MAP,notes/screening/SC-20260914-CE01.md,SR-20260914-CE01,[SCREEN] whole-group resource balancing; not target-wise subgroup recruitment
P0012,Aerial target encirclement and interception with noisy range observations,,Fen Liu,2026,Automatica,journal,published,10.1016/j.automatica.2025.112600,2508.08046,,,,,,6.1,2.2;2.7;2.8,perception-aware encirclement/interception,,,,,,,,,,,,,,HIGH,SCREENED,QUEUED,MUST READ,notes/screening/SC-20260914-CE01.md,SR-20260914-CE01,[SCREEN] strongest encirclement↔interception classical bridge
P0013,Safety-critical target enclosing control for multi-robot systems: A robust reconfigurable strategy,,Chuanjun Peng,2026,ISA Transactions,journal,ahead of print,10.1016/j.isatra.2026.08.002,,,,,,,2.4,2.3;2.7;2.8,bearing enclosing + CBF-QP,,,,,,,,,,,,,,HIGH,SCREENED,NOT_QUEUED,MAP,notes/screening/SC-20260914-CE01.md,SR-20260914-CE01,[SCREEN] safety/reliability frontier; not core first READ
P0014,"Differential Games: A Mathematical Theory with Applications to Warfare and Pursuit, Control and Optimization",,Rufus Isaacs,1965,Wiley,book,published,,,,,,,,3.1,3.3,differential games,,,,,,,,,,,,,,,UNSCREENED,NOT_QUEUED,MUST READ,,SR-20260914-PE01,[Web核验] foundational root; unscreened
P0015,An Introduction to Pursuit-evasion Differential Games,,Isaac E. Weintraub,2020,American Control Conference,conference/tutorial,published,10.23919/ACC45564.2020.9147205,2003.05013,,,,,,3.1,3.2;3.3;3.4;3.5;3.6;3.7,tutorial/survey,,,,,,,,,,,,,,,SCREENED,NOT_QUEUED,MAP,notes/screening/SC-20260914-PE01.md,SR-20260914-PE01,[SCREEN] genealogy organizer; not minimum theory READ
